id,Temperature,Humidity,Light,CO2,HumidityRatio,Occupancy
50,22.39,27.34,0,630.5,0.0045786471,0
51,22.39,27.3566666667,0,629.3333333333,0.0045814589,0
52,22.39,27.5,0,632,0.0046056409,0
53,22.39,27.5,0,636.5,0.0046056409,0
54,22.39,27.5,0,627.5,0.0046056409,0
55,22.39,27.39,0,626,0.0045870824,0
56,22.39,27.5,0,625.5,0.0046056409,0
57,22.34,27.39,0,623.5,0.0045730503,0
58,22.39,27.4633333333,0,624.6666666667,0.0045994546,0
59,22.39,27.39,0,622,0.0045870824,0
60,22.29,27.39,0,621,0.0045590561,0
61,22.34,27.39,0,626.5,0.0045730503,0
62,22.29,27.39,0,622,0.0045590561,0
63,22.39,27.39,0,620,0.0045870824,0
64,22.29,27.39,0,621.5,0.0045590561,0
65,22.29,27.3566666667,0,616.3333333333,0.0045534672,0
66,22.29,27.34,0,609,0.0045506728,0
67,22.29,27.39,0,614,0.0045590561,0
68,22.29,27.34,0,613.5,0.0045506728,0
69,22.29,27.34,0,611,0.0045506728,0
70,22.29,27.39,0,612,0.0045590561,0
71,22.29,27.29,0,608,0.0045422896,0
72,22.29,27.29,0,605.5,0.0045422896,0
73,22.2675,27.315,0,608.5,0.0045402136,0
74,22.2,27.29,0,608.5,0.0045172882,0
75,22.245,27.29,0,602.5,0.0045297737,0
76,22.2,27.29,0,598,0.0045172882,0
77,22.2,27.29,0,595,0.0045172882,0
78,22.2,27.29,0,591,0.0045172882,0
79,22.245,27.245,0,591,0.00452225,0
80,22.2,27.2,0,595,0.0045022827,0
81,22.2,27.29,0,594.3333333333,0.0045172882,0
82,22.2,27.29,0,593.5,0.0045172882,0
83,22.2,27.29,0,592,0.0045172882,0
84,22.15,27.245,0,586.5,0.0044959714,0
85,22.2,27.2,0,586,0.0045022827,0
86,22.15,27.245,0,586,0.0044959714,0
87,22.2,27.245,0,584.5,0.0045097854,0
88,22.1,27.245,0,584.5,0.0044821947,0
89,22.1,27.2,0,585.5,0.0044747383,0
90,22.1333333333,27.2,0,584.6666666667,0.0044839032,0
91,22.2,27.2,0,577,0.0045022827,0
92,22.1,27.2,0,580,0.0044747383,0
93,22.125,27.2,0,582,0.0044816104,0
94,22.2,27.2,0,580,0.0045022827,0
95,22.1,27.15,0,578,0.0044664536,0
96,22.1,27.2,0,576.5,0.0044747383,0
97,22.1,27.2,0,580,0.0044747383,0
98,22.1,27.2,0,572.5,0.0044747383,0
99,22.1,27.2,0,567,0.0044747383,0
100,22.1,27.2,0,568,0.0044747383,0
101,22.1,27.2,0,574.5,0.0044747383,0
102,22.1,27.2,0,564.3333333333,0.0044747383,0
103,22.1,27.2,0,563,0.0044747383,0
104,22.1,27.15,0,564.5,0.0044664536,0
105,22.0666666667,27.1666666667,0,566.3333333333,0.0044600781,0
106,22.1,27.1,0,562,0.0044581691,0
107,22,27.1,0,565.5,0.0044308756,0
108,22,27.1,0,570,0.0044308756,0
109,22.05,27.15,0,562,0.0044527627,0
110,22,27.1,0,560,0.0044308756,0
111,22,27.1,0,558,0.0044308756,0
112,22,27.1,0,556,0.0044308756,0
113,22,27.1,0,557,0.0044308756,0
114,21.9175,27.1,0,556.5,0.0044084694,0
115,21.945,27.1,0,557.5,0.004415927,0
116,21.9266666667,27.1,0,555,0.0044109541,0
117,21.89,27.1,0,555,0.004401023,0
118,21.89,27.1,0,553,0.004401023,0
119,21.89,27.1,0,549.5,0.004401023,0
120,21.89,27.1,0,548.5,0.004401023,0
121,21.89,27.1,0,551.5,0.004401023,0
122,21.89,27.1,0,548.5,0.004401023,0
123,21.89,27.1,0,548,0.004401023,0
124,21.89,27.1,0,547.5,0.004401023,0
125,21.89,27.1,0,553,0.004401023,0
126,21.84,27.1,0,547.5,0.0043875124,0
127,21.8566666667,27.1,0,548.6666666667,0.0043920118,0
128,21.79,27.1,0,540,0.0043740384,0
129,21.79,27.1,0,538,0.0043740384,0
130,21.79,27.1,0,542,0.0043740384,0
131,21.79,27.1,0,542,0.0043740384,0
132,21.79,27.1,0,538,0.0043740384,0
133,21.79,27.1,0,537.6666666667,0.0043740384,0
134,21.79,27.1,0,537.5,0.0043740384,0
135,21.79,27.1,0,536,0.0043740384,0
136,21.745,27.1,0,534.5,0.004361943,0
137,21.7,27.1,0,532.5,0.0043498771,0
138,21.76,27.1,0,530,0.0043659715,0
139,21.745,27.05,0,529.5,0.0043538388,0
140,21.79,27.05,0,531,0.0043659115,0
141,21.73,27,0,533.3333333333,0.0043417246,0
142,21.745,27,0,531,0.0043457348,0
143,21.745,27,0,529,0.0043457348,0
144,21.745,27,0,528.5,0.0043457348,0
145,21.7,27,0,525,0.0043337141,0
146,21.7,27,0,528.5,0.0043337141,0
147,21.7,27,0,530.5,0.0043337141,0
148,21.7,26.89,0,528,0.0043159357,0
149,21.7,26.89,0,526,0.0043159357,0
150,21.7,26.89,0,530,0.0043159357,0
151,21.7,26.89,0,533.3333333333,0.0043159357,0
152,21.7,26.89,0,529,0.0043159357,0
153,21.7,26.89,0,528,0.0043159357,0
154,21.7,26.89,0,526,0.0043159357,0
155,21.7,26.89,0,526,0.0043159357,0
156,21.7,26.79,0,521,0.0042997744,0
157,21.7,26.79,0,518,0.0042997744,0
158,21.7,26.79,0,515.5,0.0042997744,0
159,21.7,26.79,0,520,0.0042997744,0
160,21.7,26.7675,0,523.5,0.0042961382,0
161,21.7,26.79,0,525.5,0.0042997744,0
162,21.7,26.79,0,525.5,0.0042997744,0
163,21.7,26.79,0,514,0.0042997744,0
164,21.7,26.7,0,518,0.0042852299,0
165,21.7,26.7,0,518,0.0042852299,0
166,21.7,26.7,0,520,0.0042852299,0
167,21.6,26.7,0,521,0.0042589219,0
168,21.6,26.6,0,518,0.004242862,0
169,21.6,26.65,0,517,0.0042508918,0
170,21.6,26.6,0,511.5,0.004242862,0
171,21.65,26.65,0,514,0.0042640031,0
172,21.6,26.55,0,515.5,0.0042348324,0
173,21.6,26.5,0,517,0.004226803,0
174,21.6,26.5,0,515,0.004226803,0
175,21.6,26.5,0,512,0.004226803,0
176,21.6,26.5,0,515,0.004226803,0
177,21.65,26.55,0,511,0.0042478938,0
178,21.6,26.5,0,514,0.004226803,0
179,21.6,26.445,0,508,0.0042179709,0
180,21.6,26.4725,0,509.75,0.004222387,0
181,21.6,26.445,0,508.75,0.0042179709,0
182,21.6,26.445,0,508.5,0.0042179709,0
183,21.6,26.39,0,507,0.0042091391,0
184,21.6,26.39,0,507,0.0042091391,0
185,21.6,26.39,0,503.5,0.0042091391,0
186,21.6,26.39,0,504,0.0042091391,0
187,21.6,26.39,0,504,0.0042091391,0
188,21.575,26.315,0,500.5,0.0041906371,0
189,21.6,26.29,0,500,0.0041930818,0
190,21.6,26.29,0,503.5,0.0041930818,0
191,21.55,26.245,0,503,0.004172982,0
192,21.55,26.245,0,502.5,0.004172982,0
193,21.5,26.2,0,502,0.004152962,0
194,21.5666666667,26.2,0,502,0.0041700591,0
195,21.5,26.2,0,502.5,0.004152962,0
196,21.5,26.2,0,497,0.004152962,0
197,21.5,26.15,0,501.5,0.0041449837,0
198,21.5,26.15,0,504,0.0041449837,0
199,21.5,26.1,0,501,0.0041370056,0
200,21.5,26.1,0,493.75,0.0041370056,0
201,21.5,26.1,0,500,0.0041370056,0
202,21.5,26.1,0,504.5,0.0041370056,0
203,21.5,26.05,0,504,0.0041290277,0
204,21.5,26.1,0,501,0.0041370056,0
205,21.5,26,0,499,0.00412105,0
206,21.5,26,0,502,0.00412105,0
207,21.5,26,0,503.5,0.00412105,0
208,21.5,26,0,500.6666666667,0.00412105,0
209,21.5,26,0,493,0.00412105,0
210,21.5,26,0,492.5,0.00412105,0
211,21.5,26,0,493,0.00412105,0
212,21.5,25.89,0,495.5,0.0041034997,0
213,21.5,26,0,492.6666666667,0.00412105,0
214,21.5,26,0,490,0.00412105,0
215,21.5,25.9266666667,0,493,0.0041093497,0
216,21.5,25.89,0,494.6666666667,0.0041034997,0
217,21.5,25.89,0,496,0.0041034997,0
218,21.5,25.89,0,491,0.0041034997,0
219,21.5,25.84,0,490.5,0.0040955227,0
220,21.5,25.84,0,490,0.0040955227,0
221,21.5,25.89,0,491,0.0041034997,0
222,21.5,25.89,0,491.6666666667,0.0041034997,0
223,21.5,25.89,0,493.5,0.0041034997,0
224,21.4725,25.865,0,493.75,0.0040925678,0
225,21.5,25.84,0,490,0.0040955227,0
226,21.5,25.79,0,488,0.0040875458,0
227,21.5,25.79,0,490,0.0040875458,0
228,21.5,25.79,0,487,0.0040875458,0
229,21.445,25.745,0,492.5,0.0040665556,0
230,21.445,25.745,0,493.5,0.0040665556,0
231,21.4633333333,25.76,0,493.3333333333,0.0040735423,0
232,21.445,25.745,0,488,0.0040665556,0
233,21.5,25.79,0,487.5,0.0040875458,0
234,21.4266666667,25.73,0,485.3333333333,0.0040595789,0
235,21.39,25.7,0,484,0.0040456556,0
236,21.39,25.7,0,489,0.0040456556,0
237,21.445,25.745,0,488,0.0040665556,0
238,21.5,25.79,0,493,0.0040875458,0
239,21.39,25.7,0,491,0.0040456556,0
240,21.445,25.745,0,488,0.0040665556,0
241,21.445,25.745,0,487.25,0.0040665556,0
242,21.39,25.7,0,489,0.0040456556,0
243,21.5,25.79,0,489,0.0040875458,0
244,21.39,25.7,0,486,0.0040456556,0
245,21.4266666667,25.73,0,484.6666666667,0.0040595789,0
246,21.39,25.7,0,485,0.0040456556,0
247,21.39,25.7,0,487,0.0040456556,0
248,21.39,25.7,0,492,0.0040456556,0
249,21.39,25.7,0,490.6666666667,0.0040456556,0
250,21.39,25.7,0,488,0.0040456556,0
251,21.39,25.7,0,485.5,0.0040456556,0
252,21.39,25.7,0,486,0.0040456556,0
253,21.39,25.7,0,485.5,0.0040456556,0
254,21.39,25.7,0,486,0.0040456556,0
255,21.39,25.7,0,480,0.0040456556,0
256,21.39,25.7,0,481,0.0040456556,0
257,21.39,25.7,0,481.6666666667,0.0040456556,0
258,21.39,25.7,0,485.5,0.0040456556,0
259,21.39,25.7,0,485,0.0040456556,0
260,21.39,25.7,0,473,0.0040456556,0
261,21.39,25.7,0,475,0.0040456556,0
262,21.39,25.7,0,486,0.0040456556,0
263,21.39,25.7,0,481.5,0.0040456556,0
264,21.39,25.7,0,483,0.0040456556,0
265,21.39,25.7,0,479,0.0040456556,0
266,21.39,25.7,0,479,0.0040456556,0
267,21.39,25.7,0,479,0.0040456556,0
268,21.34,25.7,0,479,0.0040331953,0
269,21.39,25.7,0,479,0.0040456556,0
270,21.39,25.7,0,477,0.0040456556,0
271,21.39,25.7,0,477.5,0.0040456556,0
272,21.29,25.7,0,477.5,0.0040207687,0
273,21.34,25.7,0,480,0.0040331953,0
274,21.29,25.7,0,480,0.0040207687,0
275,21.34,25.7,0,482,0.0040331953,0
276,21.3233333333,25.7,0,480.3333333333,0.0040290493,0
277,21.34,25.7,0,477.5,0.0040331953,0
278,21.29,25.7,0,476,0.0040207687,0
279,21.39,25.7,0,479,0.0040456556,0
280,21.39,25.7,0,471,0.0040456556,0
281,21.29,25.7,0,474,0.0040207687,0
282,21.29,25.7,0,477.5,0.0040207687,0
283,21.34,25.7,0,476,0.0040331953,0
284,21.29,25.7,0,474.25,0.0040207687,0
285,21.39,25.7,0,475,0.0040456556,0
286,21.29,25.7,0,476.5,0.0040207687,0
287,21.34,25.7,0,474.5,0.0040331953,0
288,21.29,25.7,0,478,0.0040207687,0
289,21.29,25.7,0,475.3333333333,0.0040207687,0
290,21.29,25.7,0,477,0.0040207687,0
291,21.29,25.7,0,475.5,0.0040207687,0
292,21.29,25.7,0,477.5,0.0040207687,0
293,21.29,25.7,0,477.5,0.0040207687,0
294,21.29,25.7,0,478,0.0040207687,0
295,21.29,25.7,0,473.5,0.0040207687,0
296,21.29,25.7,0,472.5,0.0040207687,0
297,21.29,25.7,0,472,0.0040207687,0
298,21.29,25.7,0,469.5,0.0040207687,0
299,21.29,25.7,0,466.6666666667,0.0040207687,0
300,21.29,25.7,0,467,0.0040207687,0
301,21.29,25.7,0,469.5,0.0040207687,0
302,21.2,25.6,0,469,0.0039828281,0
303,21.29,25.7,0,471,0.0040207687,0
304,21.29,25.7,0,469,0.0040207687,0
305,21.26,25.6666666667,0,467.3333333333,0.0040080901,0
306,21.245,25.65,0,471.5,0.0040017627,0
307,21.23,25.6333333333,0,471.6666666667,0.0039954433,0
308,21.29,25.7,0,475,0.0040207687,0
309,21.2,25.6,0,471,0.0039828281,0
310,21.2,25.6,0,471,0.0039828281,0
311,21.245,25.65,0,471,0.0040017627,0
312,21.245,25.65,0,474.5,0.0040017627,0
313,21.2,25.6,0,475.5,0.0039828281,0
314,21.2,25.6,0,474,0.0039828281,0
315,21.2,25.6,0,469,0.0039828281,0
316,21.2,25.6,0,474,0.0039828281,0
317,21.2,25.6,0,474,0.0039828281,0
318,21.2,25.6,0,468.5,0.0039828281,0
319,21.2,25.6,0,469.5,0.0039828281,0
320,21.2,25.6,0,472.5,0.0039828281,0
321,21.2,25.6,0,467.5,0.0039828281,0
322,21.2,25.6,0,469,0.0039828281,0
323,21.2,25.55,0,466.5,0.0039749994,0
324,21.2,25.5,0,469.5,0.0039671709,0
325,21.2,25.5,0,469,0.0039671709,0
326,21.2,25.5,0,467,0.0039671709,0
327,21.2,25.5,0,467.3333333333,0.0039671709,0
328,21.2,25.5,0,467,0.0039671709,0
329,21.2,25.5,0,464.5,0.0039671709,0
330,21.2,25.445,0,466,0.0039585598,0
331,21.2,25.5,0,473,0.0039671709,0
332,21.2,25.39,0,475,0.003949949,0
333,21.2,25.39,0,471,0.003949949,0
334,21.2,25.39,0,470,0.003949949,0
335,21.2,25.39,0,466.25,0.003949949,0
336,21.2,25.39,0,467,0.003949949,0
337,21.2,25.39,0,473,0.003949949,0
338,21.2,25.39,0,468,0.003949949,0
339,21.2,25.39,0,463,0.003949949,0
340,21.2,25.39,0,466,0.003949949,0
341,21.2,25.39,0,467,0.003949949,0
342,21.2,25.29,0,468,0.0039342935,0
343,21.2,25.39,0,468,0.003949949,0
344,21.2,25.29,0,468,0.0039342935,0
345,21.2,25.34,0,465.5,0.0039421211,0
346,21.2,25.39,0,464,0.003949949,0
347,21.2,25.34,0,464.5,0.0039421211,0
348,21.2,25.29,0,465.6666666667,0.0039342935,0
349,21.2,25.365,0,465.75,0.003946035,0
350,21.2,25.39,0,464,0.003949949,0
351,21.2,25.39,0,467,0.003949949,0
352,21.15,25.39,0,466.5,0.0039377675,0
353,21.2,25.39,0,465,0.003949949,0
354,21.2,25.39,0,462,0.003949949,0
355,21.2,25.39,0,459.6666666667,0.003949949,0
356,21.2,25.29,0,458,0.0039342935,0
357,21.2,25.34,0,462.5,0.0039421211,0
358,21.2,25.29,0,467,0.0039342935,0
359,21.2,25.29,0,466.5,0.0039342935,0
360,21.2,25.29,0,463,0.0039342935,0
361,21.2,25.29,0,465,0.0039342935,0
362,21.2,25.29,0,463.25,0.0039342935,0
363,21.2,25.29,0,460,0.0039342935,0
364,21.2,25.29,0,457,0.0039342935,0
365,21.2,25.29,0,456,0.0039342935,0
366,21.245,25.245,0,454,0.003938177,0
367,21.23,25.23,0,454,0.0039321787,0
368,21.29,25.29,0,458,0.0039562162,0
369,21.2,25.2,0,456,0.0039202042,0
370,21.245,25.245,0,456.5,0.003938177,0
371,21.245,25.245,0,458.5,0.003938177,0
372,21.26,25.26,0,459.6666666667,0.0039441826,0
373,21.245,25.245,0,464,0.003938177,0
374,21.245,25.2,0,465,0.0039311127,0
375,21.29,25.2,0,461,0.0039420479,0
376,21.245,25.2,0,458.5,0.0039311127,0
377,21.29,25.2,0,459,0.0039420479,0
378,21.29,25.2,0,451,0.0039420479,0
379,21.29,25.2,0,456,0.0039420479,0
380,21.29,25.2,0,463,0.0039420479,0
381,21.29,25.2,0,461.6666666667,0.0039420479,0
382,21.29,25.2,0,458,0.0039420479,0
383,21.29,25.2,0,450,0.0039420479,0
384,21.29,25.2,0,457,0.0039420479,0
385,21.29,25.2,0,456,0.0039420479,0
386,21.29,25.2,0,456,0.0039420479,0
387,21.29,25.2,0,461,0.0039420479,0
388,21.29,25.2,0,463,0.0039420479,0
389,21.29,25.2,0,460,0.0039420479,0
390,21.29,25.2,0,456,0.0039420479,0
391,21.29,25.2,0,454.5,0.0039420479,0
392,21.29,25.2,0,448.5,0.0039420479,0
393,21.29,25.2,0,453.5,0.0039420479,0
394,21.29,25.2,0,454,0.0039420479,0
395,21.29,25.2,0,454,0.0039420479,0
396,21.29,25.245,0,450.5,0.003949132,0
397,21.29,25.245,0,453,0.003949132,0
398,21.2,25.2,0,457,0.0039202042,0
399,21.2,25.2,0,452.5,0.0039202042,0
400,21.2,25.2,0,449,0.0039202042,0
401,21.2,25.2,0,458.6666666667,0.0039202042,0
402,21.2,25.2,0,454.5,0.0039202042,0
403,21.2,25.245,0,455.5,0.0039272488,0
404,21.2,25.245,0,453.5,0.0039272488,0
405,21.2,25.29,0,452,0.0039342935,0
406,21.2,25.29,0,451.5,0.0039342935,0
407,21.2,25.29,0,451,0.0039342935,0
408,21.1666666667,25.3566666667,0,450.3333333333,0.0039366165,0
409,21.1666666667,25.39,0,450,0.0039418243,0
410,21.15,25.39,0,453.5,0.0039377675,0
411,21.1,25.39,0,454,0.0039256191,0
412,21.15,25.39,0,452.5,0.0039377675,0
413,21.1,25.39,0,454,0.0039256191,0
414,21.1,25.39,0,457,0.0039256191,0
415,21.1,25.4633333333,0,450.3333333333,0.0039370291,0
416,21.1,25.5,0,451,0.0039427343,0
417,21.1,25.5,0,451,0.0039427343,0
418,21.05,25.445,0,449,0.0039220347,0
419,21.1,25.5,0,449,0.0039427343,0
420,21.05,25.445,0,450,0.0039220347,0
421,21.05,25.445,0,449,0.0039220347,0
422,21.1,25.5,0,445,0.0039427343,0
423,21,25.39,0,443,0.0039014214,0
424,21.1,25.5,0,446.5,0.0039427343,0
425,21.1,25.5,0,446,0.0039427343,0
426,21.1,25.5,0,451.5,0.0039427343,0
427,21.1,25.39,0,445,0.0039256191,0
428,21.1,25.39,0,449,0.0039256191,0
429,21.1,25.39,0,451.6666666667,0.0039256191,0
430,21.1,25.39,0,452,0.0039256191,0
431,21.1,25.39,0,451,0.0039256191,0
432,21.05,25.34,0,450,0.0039057486,0
433,21.1,25.39,0,450,0.0039256191,0
434,21.1,25.39,0,448,0.0039256191,0
435,21.1,25.39,0,450.6666666667,0.0039256191,0
436,21.1,25.39,0,450,0.0039256191,0
437,21.15,25.39,0,446,0.0039377675,0
438,21.1,25.39,0,444,0.0039256191,0
439,21.125,25.39,0,447.5,0.0039316891,0
440,21.1333333333,25.39,0,443.3333333333,0.0039337143,0
441,21.1,25.34,0,443.5,0.0039178397,0
442,21.1,25.34,0,444,0.0039178397,0
443,21.15,25.34,0,449,0.0039299639,0
444,21.2,25.29,0,449.3333333333,0.0039342935,0
445,21.15,25.29,0,448,0.0039221605,0
446,21.15,25.245,0,449.5,0.0039151377,0
447,21.2,25.245,0,450,0.0039272488,0
448,21.2,25.2,0,447,0.0039202042,0
449,21.2,25.2,0,446,0.0039202042,0
450,21.1333333333,25.2,0,443,0.0039040925,0
451,21.1666666667,25.2,0,444,0.0039121411,0
452,21.2,25.2,0,444.5,0.0039202042,0
453,21.2,25.2,0,445,0.0039202042,0
454,21.2,25.2,0,451,0.0039202042,0
455,21.2,25.2,0,450,0.0039202042,0
456,21.2,25.2,0,444,0.0039202042,0
457,21.2,25.2,0,443,0.0039202042,0
458,21.2,25.1,0,438.5,0.0039045502,0
459,21.2,25.1,0,441,0.0039045502,0
460,21.2,25.1,0,444,0.0039045502,0
461,21.2,25.15,0,441.5,0.0039123771,0
462,21.2,25.1,0,441,0.0039045502,0
463,21.2,25.1,0,439.5,0.0039045502,0
464,21.2,25.1,0,441,0.0039045502,0
465,21.2,25.1,0,442,0.0039045502,0
466,21.2,25.1,0,441,0.0039045502,0
467,21.2,25.1,0,436,0.0039045502,0
468,21.2,25.1,0,442.5,0.0039045502,0
469,21.2,25.1,0,446,0.0039045502,0
470,21.2,25.1,0,443,0.0039045502,0
471,21.2,25.1,0,437.5,0.0039045502,0
472,21.2,25.1,0,440.5,0.0039045502,0
473,21.2,25.05,0,439.5,0.0038967235,0
474,21.2,25,0,443,0.0038888969,0
475,21.2,25,0,443,0.0038888969,0
476,21.2,25,0,438.5,0.0038888969,0
477,21.2,25,0,438,0.0038888969,0
478,21.2,25,0,442.3333333333,0.0038888969,0
479,21.2,25,0,448,0.0038888969,0
480,21.2,25.1,0,447.5,0.0039045502,0
481,21.125,25.1,0,445.75,0.0038865015,0
482,21.1,25,0,439,0.0038649454,0
483,21.1,25.1,0,440,0.0038805016,0
484,21.1,25.1,0,441.5,0.0038805016,0
485,21.1,25.0666666667,0,439,0.0038753161,0
486,21.1,25,0,439,0.0038649454,0
487,21.1,25.1,0,437.5,0.0038805016,0
488,21.05,25.05,0,437.5,0.0038607723,0
489,21.1,25.1,0,439.3333333333,0.0038805016,0
490,21.1,25.1,0,443,0.0038805016,0
491,21,25,0,440.5,0.003841124,0
492,21,25,0,442.3333333333,0.003841124,0
493,21,25,0,440.6666666667,0.003841124,0
494,21,25,0,440,0.003841124,0
495,21,25,0,439,0.003841124,0
496,21,25,0,442,0.003841124,0
497,21,25,0,443.5,0.003841124,0
498,21,25,0,445,0.003841124,0
499,21,25,0,445,0.003841124,0
500,21,25.05,0,442.5,0.0038488538,0
501,21,25.1,0,440,0.0038565838,0
502,21,25,0,439.5,0.003841124,0
503,21,25,0,438.5,0.003841124,0
504,21,25,0,435,0.003841124,0
505,21,25,0,439.5,0.003841124,0
506,21,25,0,440.5,0.003841124,0
507,21,25,0,439.5,0.003841124,0
508,21,25,0,441,0.003841124,0
509,21,25,0,442,0.003841124,0
510,21,25,0,445,0.003841124,0
511,21,25,0,444,0.003841124,0
512,21,25,0,445,0.003841124,0
513,21,24.89,0,444,0.0038241192,0
514,21,24.89,0,443,0.0038241192,0
515,21,24.89,0,448,0.0038241192,0
516,21.05,24.945,0,443,0.0038444894,0
517,21.05,24.945,0,440,0.0038444894,0
518,21,24.89,0,440,0.0038241192,0
519,21.0333333333,24.9266666667,0,441,0.0038376898,0
520,21.05,24.945,0,440.5,0.0038444894,0
521,21.05,24.945,0,444.5,0.0038444894,0
522,21.1,25,0,446,0.0038649454,0
523,21.05,24.945,0,442.5,0.0038444894,0
524,21,24.89,0,439,0.0038241192,0
525,21.1,24.89,0,441,0.0038478344,0
526,21.1,24.89,0,438.3333333333,0.0038478344,0
527,21.0333333333,24.89,0,439.5,0.0038320099,0
528,21.075,24.9725,0,440.75,0.0038547067,0
529,21.0333333333,24.9266666667,0,437,0.0038376898,0
530,21.1,24.945,0,440.5,0.0038563898,0
531,21.1,24.9175,0,442.25,0.0038521121,0
532,21.1,24.89,0,435,0.0038478344,0
533,21.1,24.89,0,435.5,0.0038478344,0
534,21.1,24.89,0,432,0.0038478344,0
535,21.1,24.89,0,439.5,0.0038478344,0
536,21.05,24.84,0,442.5,0.0038282074,0
537,21.1,24.89,0,438.5,0.0038478344,0
538,21.05,24.84,0,435.5,0.0038282074,0
539,21.0666666667,24.8566666667,0,437.3333333333,0.0038347408,0
540,21.1,24.89,0,437,0.0038478344,0
541,21.0333333333,24.8233333333,0,438,0.003821683,0
542,21.025,24.84,0,435,0.0038222947,0
543,21,24.79,0,440,0.003808661,0
544,21,24.8233333333,0,441.3333333333,0.0038138136,0
545,21,24.8566666667,0,435,0.0038189663,0
546,21,24.89,0,432,0.0038241192,0
547,21,24.89,0,435.5,0.0038241192,0
548,21,24.89,0,444,0.0038241192,0
549,21,24.84,0,444.5,0.00381639,0
550,21,24.89,0,446,0.0038241192,0
551,21,24.89,0,445,0.0038241192,0
552,21,24.89,0,438.3333333333,0.0038241192,0
553,21,24.89,0,445.5,0.0038241192,0
554,21,24.89,0,439,0.0038241192,0
555,21,24.89,0,439,0.0038241192,0
556,20.945,24.89,0,439.5,0.0038111307,0
557,20.9633333333,24.89,0,443.3333333333,0.0038154559,0
558,20.89,24.89,0,443.5,0.0037981813,0
559,20.9266666667,24.89,0,444,0.0038068099,0
560,21,24.89,0,447.5,0.0038241192,0
561,20.89,24.89,0,445.5,0.0037981813,0
562,20.89,24.89,0,443,0.0037981813,0
563,20.89,24.89,0,438,0.0037981813,0
564,20.89,24.89,0,428,0.0037981813,0
565,20.89,24.89,0,431,0.0037981813,0
566,20.89,24.89,0,441,0.0037981813,0
567,20.89,24.89,0,446,0.0037981813,0
568,20.89,24.89,0,447,0.0037981813,0
569,20.89,24.89,0,439,0.0037981813,0
570,20.89,24.89,0,438.3333333333,0.0037981813,0
571,20.89,24.89,0,442,0.0037981813,0
572,20.9266666667,24.79,0,443.3333333333,0.0037914222,0
573,20.89,24.79,0,448,0.0037828286,0
574,20.89,24.79,0,444.5,0.0037828286,0
575,20.9266666667,24.79,0,443.3333333333,0.0037914222,0
576,20.945,24.79,0,445,0.0037957254,0
577,21,24.7,0,445,0.0037947493,0
578,21,24.7,0,443.5,0.0037947493,0
579,21,24.7,0,439,0.0037947493,0
580,21,24.7,0,441.5,0.0037947493,0
581,21,24.6333333333,0,441.3333333333,0.0037844448,0
582,21,24.6,0,441,0.0037792926,0
583,21,24.6,0,441,0.0037792926,0
584,21,24.6,0,440,0.0037792926,0
